symbol,time,open,high,low,close,volume,ROC,Histogram,MACD,Signal,ADX,C-O,EMA_50,ATR_14
ANTX,2026-02-17 14:30:00,1.06,1.06,1.06,1.06,8228.0,,,,,,0.0,,
ANTX,2026-02-17 14:35:00,1.0775,1.0775,1.0775,1.0775,1130.0,,,,,,0.0,,
ANTX,2026-02-17 14:40:00,1.06,1.06,1.06,1.06,4849.0,,,,,,0.0,,
ANTX,2026-02-17 14:55:00,1.07,1.07,1.07,1.07,1000.0,,,,,,0.0,,
ANTX,2026-02-17 15:10:00,1.05,1.05,1.05,1.05,500.0,,,,,,0.0,,
ANTX,2026-02-17 15:15:00,1.04,1.04,1.03,1.03,3769.0,,,,,,-0.010000000000000009,,
ANTX,2026-02-17 15:20:00,1.03,1.035,1.03,1.035,3000.0,,,,,,0.004999999999999893,,
ANTX,2026-02-17 15:30:00,1.04,1.04,1.04,1.04,100.0,,,,,,0.0,,
ANTX,2026-02-17 15:35:00,1.04,1.055,1.04,1.055,6304.0,,,,,,0.014999999999999902,,
ANTX,2026-02-17 15:45:00,1.06,1.06,1.055,1.06,1629.0,,,,,,0.0,,
ANTX,2026-02-17 16:20:00,1.06,1.06,1.06,1.06,100.0,0.0,,,,,0.0,,
ANTX,2026-02-17 17:10:00,1.06,1.06,1.06,1.06,284.0,-1.6241299303944134,,,,,0.0,,
ANTX,2026-02-17 17:25:00,1.065,1.065,1.065,1.065,103.0,0.4716981132075304,,,,,0.0,,
ANTX,2026-02-17 18:35:00,1.065,1.065,1.065,1.065,5000.0,-0.4672897196261738,,,,,0.0,,
ANTX,2026-02-17 18:55:00,1.06,1.06,1.06,1.06,411.0,0.952380952380949,,,,,0.0,,0.008928571428571397
ANTX,2026-02-17 19:00:00,1.06,1.06,1.06,1.06,421.0,2.9126213592232997,,,,,0.0,,0.008290816326530583
ANTX,2026-02-17 19:15:00,1.05,1.05,1.05,1.05,205.0,1.449275362318847,,,,,0.0,,0.008412900874635542
ANTX,2026-02-17 19:45:00,1.05,1.0502,1.05,1.0502,297.0,0.9807692307692184,,,,,0.00019999999999997797,,0.007826265097875859
ANTX,2026-02-17 19:50:00,1.06,1.06,1.06,1.06,100.0,0.4739336492891155,,,,,0.0,,0.0079672461623133
ANTX,2026-02-17 20:00:00,1.05,1.0553,1.05,1.055,21343.0,-0.4716981132075526,,,,,0.004999999999999893,,0.008112442865005209
ANTX,2026-02-17 20:10:00,1.055,1.055,1.055,1.055,100.0,-0.4716981132075526,,,,,0.0,,0.00753298266036198
ANTX,2026-02-17 20:20:00,1.055,1.055,1.05,1.05,237.0,-0.9433962264150941,,,,,-0.004999999999999893,,0.007352055327478973
ANTX,2026-02-17 20:25:00,1.055,1.07,1.055,1.06,1835.0,-0.46948356807510194,,,,,0.0050000000000001155,,0.008255479946944762
ANTX,2026-02-17 20:30:00,1.06,1.06,1.06,1.06,525.0,-0.46948356807510194,,,,,0.0,,0.007665802807877278
ANTX,2026-02-17 20:35:00,1.06,1.06,1.06,1.06,506.0,0.0,,,,,0.0,,0.007118245464457473
ANTX,2026-02-17 20:45:00,1.06,1.06,1.06,1.06,454.0,0.0,,,,,0.0,,0.006609799359853368
ANTX,2026-02-17 20:50:00,1.05,1.055,1.05,1.055,476.0,0.4761904761904745,,,,,0.004999999999999893,,0.0068519565484352705
ANTX,2026-02-17 20:55:00,1.05,1.07,1.05,1.055,2353.0,0.4570557988954338,,,,6.951961050811191,0.004999999999999893,,0.0077911025092613235
ANTX,2026-02-17 21:00:00,1.05,1.05,1.05,1.05,294.0,-0.9433962264150941,,,,6.91340171101117,0.0,,0.007591738044314079
ANTX,2026-02-18 14:25:00,1.02,1.02,1.01,1.01,4170.0,-4.265402843601884,,,,8.445229684399834,-0.010000000000000009,,0.009906613898291648
ANTX,2026-02-18 14:30:00,1.01,1.05,1.01,1.045,18169.0,-0.9478672985781977,,,,7.953156418605239,0.03499999999999992,,0.012056141476985105
ANTX,2026-02-18 15:10:00,1.06,1.06,1.06,1.06,282.0,0.952380952380949,,,,7.779745837712118,0.0,,0.012266417085771893
ANTX,2026-02-18 15:50:00,1.07,1.07,1.07,1.07,2643.0,0.9433962264151052,,,,8.090079376222851,0.0,,0.012104530151073902
ANTX,2026-02-18 16:20:00,1.065,1.065,1.06,1.06,1212.0,0.0,0.0010750762504351129,-0.00030953707861502977,-0.0013846133290501426,7.8179444143946295,-0.004999999999999893,,0.011954206568854337
ANTX,2026-02-18 16:25:00,1.06,1.06,1.06,1.06,433.0,0.0,0.001267667984934463,0.00019997165211793622,-0.0010676963328165269,7.5652476641255655,0.0,,0.011100334671079027
ANTX,2026-02-18 17:05:00,1.07,1.07,1.07,1.07,2002.0,0.9433962264151052,0.0019698381243421458,0.0013946013226111553,-0.0005752368017309904,7.843712813404404,0.0,,0.011021739337430527
ANTX,2026-02-18 17:35:00,1.0715,1.08,1.065,1.065,1233.0,0.9478672985782088,0.0019928385999754077,0.0019158114482382693,-7.70271517371385e-05,8.575180194097658,-0.00649999999999995,,0.011305900813328355
ANTX,2026-02-18 17:40:00,1.08,1.08,1.08,1.08,201.0,2.369668246445511,0.0028607541591929198,0.003498915547254011,0.0006381613880610914,9.254399904741396,0.0,,0.011569765040947767
ANTX,2026-02-18 17:55:00,1.08,1.08,1.08,1.08,100.0,2.857142857142869,0.003248963361634308,0.004699365590103977,0.0014504022284696685,9.885103921767723,0.0,,0.010743353252308642
ANTX,2026-02-18 18:05:00,1.07,1.08,1.07,1.07,2504.0,5.940594059405946,0.002670569662351892,0.004788614306409533,0.0021180446440576413,9.750296753861402,0.0,,0.010690256591429454
ANTX,2026-02-18 18:10:00,1.06,1.08,1.06,1.08,6201.0,3.349282296650724,0.0027869148518380503,0.0056016882088552045,0.002814773357017154,9.132405906236823,0.020000000000000018,,0.01135523826347021
ANTX,2026-02-18 18:15:00,1.0668,1.07,1.0668,1.07,5864.0,0.9433962264151052,0.002049904691355512,0.005377154221211544,0.0033272495298560323,8.558650119156857,0.0032000000000000917,,0.01148700695893663
ANTX,2026-02-18 18:30:00,1.07,1.07,1.07,1.07,100.0,0.0,0.001450167710949251,0.005139959168542596,0.003689791457593345,8.025876888296887,0.0,,0.01066650646186973
ANTX,2026-02-18 18:40:00,1.06,1.06,1.06,1.06,100.0,0.0,0.00032642824019393606,0.004097826757835765,0.003771398517641829,8.20365621435685,0.0,,0.010618898857450463
ANTX,2026-02-18 19:15:00,1.06,1.06,1.06,1.06,101.0,0.0,-0.00042940491776100173,0.003234642370440577,0.0036640472882015786,8.368737017126813,0.0,,0.009860406081918289
ANTX,2026-02-18 19:20:00,1.0698,1.0699,1.065,1.0699,1744.0,-0.009345794392523477,-0.0002822459308251101,0.003311239874670191,0.003593485805495301,7.79771548610573,9.999999999998899e-05,,0.009863234218924127
ANTX,2026-02-18 20:40:00,1.05,1.05,1.05,1.05,100.0,-1.4084507042253391,-0.0014779463647982645,0.0017460528494974703,0.0032239992142957348,8.207025188070357,0.0,,0.010580146060429549
ANTX,2026-02-18 20:50:00,1.05,1.05,1.05,1.05,100.0,-2.777777777777779,-0.0021793044270419135,0.0004998686804933428,0.0026791731075352563,8.587098482751797,0.0,,0.00982442134182744
ANTX,2026-02-18 20:55:00,1.05,1.05,1.03,1.04,8429.0,-3.703703703703709,-0.003167261481686238,-0.0012799037445725414,0.0018873577371136966,10.029560400534901,-0.010000000000000009,,0.010551248388839767
ANTX,2026-02-18 21:00:00,1.03,1.03,1.03,1.03,550.0,-3.738317757009346,-0.00427584406150815,-0.003457447339771491,0.000818396721736659,11.36898932419064,0.0,1.0575519999999998,0.010511873503922641
ANTX,2026-02-18 23:05:00,1.04,1.04,1.04,1.04,100.0,-3.703703703703709,-0.004115819863042605,-0.004326378107066597,-0.00021055824402399221,11.759126392639818,0.0,1.0568636862745096,0.01047531111078531
ANTX,2026-02-19 15:25:00,1.03,1.03,1.03,1.03,150.0,-3.738317757009346,-0.004436018736195771,-0.005755581664268705,-0.0013195629280729347,12.6611422395741,0.0,1.0558102083813916,0.010441360317157788
ANTX,2026-02-19 16:05:00,1.03,1.03,1.03,1.03,360.0,-3.738317757009346,-0.0043921395509474714,-0.006809737366757274,-0.0024175978158098026,13.498728383155932,0.0,1.0547980433468271,0.00969554886593223
ANTX,2026-02-19 16:50:00,1.03,1.03,1.03,1.03,479.0,-2.8301886792452824,-0.00411235293697989,-0.007558038987034665,-0.0034456860500547753,14.276486945053346,0.0,1.0538255710587163,0.009003009661222786
ANTX,2026-02-19 16:55:00,1.03,1.03,1.03,1.03,1329.0,-2.8301886792452824,-0.0036899981094200736,-0.008058183686829867,-0.004368185577409794,14.998691323958088,0.0,1.0528912349387667,0.008359937542564016
ANTX,2026-02-19 17:00:00,1.0101,1.0101,1.0101,1.0101,701.0,-5.5893074119076624,-0.00446198608342511,-0.00994566818169118,-0.005483682098266071,16.72582486238871,0.0,1.051213147294109,0.00918422771809516
ANTX,2026-02-19 17:10:00,1.01,1.0299,1.01,1.0299,1100.0,-1.9142857142857128,-0.0033983650795266955,-0.00973163844767444,-0.0063332733681477444,16.606905951510637,0.01990000000000003,1.0503773375963008,0.009949640023945506
ANTX,2026-02-19 17:15:00,1.02,1.02,1.02,1.02,232.0,-2.857142857142858,-0.0031276157544582496,-0.010242793061220556,-0.007115177306762307,16.496481248552428,0.0,1.0491860694552695,0.009946094307949401
